,id,original_title,poster_path,overview,budget,genres,release_date,popularity,revenue,director,top_cast,keywords
23405,210947,Afflicted,/rJeJXo3ZyEM5lpOn0kXab7TIrb6.jpg,Two friends' tour of Europe takes a dark turn when one of them contracts a mysterious illness. They race to find out what it is and how to cure it before the sickness consumes him completely.,318000, Horror Thriller,2014-04-04,8.93232,121179.0,James Franco, James Franco Val Lauren Christian Patrick, male nudity gay bar audition jock strap
23421,232672,Blended,/l99PKd9tdwtpOS5jxHwDGKTsVUo.jpg,"After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attractions grows as their respective kids benefit from the burgeoning relationship.",40000000, Comedy,2014-05-21,10.395472,123494610.0,John Carney, Mark Ruffalo Keira Knightley Adam Levine,
23422,198277,Begin Again,/og7KVMqGTFaCNPmGVetxtR30Q0z.jpg,"Gretta's celebrity boyfriend breaks up with her after a long-term relationship, leaving the singer to find success on her own. With the help of record producer, Dan and hip-hop celebrity, Trouble Gum, Gretta strives to fulfil her musical ambitions.",8000000, Comedy Music Romance Drama,2013-09-07,10.289628,63464861.0,Jen McGowan, Juliette Lewis Cybill Shepherd Alysia Reiner, wheelchair friendship single mother punk rocker woman director
23432,169853,12 O’Clock Boys,/riFtLDhJomPL0aWvWmoYwmMI3fq.jpg,"Pug, a wisecracking 13 year old living on a dangerous Westside block, has one goal in mind: to join The Twelve O'Clock Boys; the notorious urban dirt-bike gang of Baltimore. Converging from all parts of the inner city, they invade the streets and clash with police, who are forbidden to chase the bikes for fear of endangering the public. When Pug's older brother dies suddenly, he looks to the pack for mentorship, spurred by their dangerous lifestyle. Pug's story is coupled with unprecedented, action-packed coverage of the riders in their element. The film presents the pivotal years of change in a boy's life growing up in one of the most dangerous and economically depressed cities in the US.",0, Documentary,2013-01-31,0.635492,44.0,George Marshall, Wallace Beery Barbara Stanwyck John Boles, cuba
23436,47901,The One and Only,/ztvhOjbX6FJCBGZRzQvTq4cE4JV.jpg,"1951: Andy Schmidt is in his last year of college. Taking life easy and always a saucy joke on his lips, he manages to win fellow student Mary's heart, although she's already otherwise engaged. But getting a job after college turns out much harder than expected; most directors take offense at his free interpretation of his roles. Desperate, he tries in wrestling. To avoid getting beaten up he stages the fights - and incidentally invents show-wrestling.",0, Comedy Romance,1978-02-03,0.43491,16928137.0,Robert Stromberg, Angelina Jolie Elle Fanning Sharlto Copley, fairy tale villain sleeping beauty dark fantasy based on fairy tale adaptation retelling literary adaptation 3d
23437,102651,Maleficent,/4FYu1AAu14tuBU0lns0hbKiHUcH.jpg,"The untold story of Disney's most iconic villain from the 1959 classic 'Sleeping Beauty'. A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land.  Maleficent rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal – an act that begins to turn her heart into stone. Bent on revenge, Maleficent faces an epic battle with the invading King's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom - and to Maleficent's true happiness as well.",180000000, Fantasy Adventure Action Family Romance,2014-05-28,19.467404,758539785.0,Hossein Amini, Viggo Mortensen Kirsten Dunst Oscar Isaac, sailboat hotel american couple private detective
23438,192149,The Two Faces of January,/tbpIle72s2cPMlkRaZBOzNkAtG8.jpg,"A thriller centered on a con artist, his wife, and a stranger who try to flee a foreign country after one of them is caught up in the murder of a private detective.",0, Thriller,2014-05-16,10.652311,4507463.0,Jordan Rubin, Rachel Melvin Cortney Palm Lexi Atkins, beaver zombie animal attack
23439,254474,Zombeavers,/pn3R6VZq4UdM7qdIhw5YOHnwNna.jpg,College friends find their weekend of sex and debauchery ruined when deadly zombie beavers swarm their riverside cabin.,0, Horror Action Comedy,2014-10-20,5.599039,14947.0,Mervyn LeRoy, William Holden Lloyd Nolan Virginia Leith, test pilot supersonic flight
23464,51069,I Like Killing Flies,/9h1Xysv6gI4ojOffapVjIIT96fr.jpg,"A documentary on the oddball Greenwich Village eatery, Shopsin's.",0, Documentary,2004-01-01,0.829,14000.0,Doug Liman, Tom Cruise Emily Blunt Brendan Gleeson, deja vu time warp restart dystopia war alien military officer soldier alien invasion exoskeleton
23465,137113,Edge of Tomorrow,/tpoVEYvm6qcXueZrQYJNRLXL88s.jpg,"Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.",178000000, Action Science Fiction,2014-05-27,31.982986,370541256.0,Pantelis Voulgaris, Pinelopi Tsilika Sofia Kokkali Maximos Mammouris,
23471,203819,Tracks,/ysXVxDpfPvl6YmojfNYDz9zjVtb.jpg,"Accompanied only by her faithful dog and four camels, an Australian satisfies her craving for solitude by embarking on a solo trip across the desert from Alice Springs to the Indian Ocean.",0, Adventure Drama,2014-03-06,0.239993,4878242.0,Christopher McQuarrie, Tom Cruise Rebecca Ferguson Simon Pegg, london england spy austria villain sequel mission conspiracy vienna opera vienna
23472,177677,Mission: Impossible - Rogue Nation,/z2sJd1OvAGZLxgjBdSnQoLCfn3M.jpg,"Ethan and team take on their most impossible mission yet, eradicating the Syndicate - an International rogue organization as highly skilled as they are, committed to destroying the IMF.",150000000, Action Adventure Thriller,2015-07-23,17.836882,682330139.0,Nick Willing, Rhys Ifans Anna Friel Charles Dance, peter pan growing up miniseries
23477,198185,Million Dollar Arm,/rYOQL42cDdsbhfgaxeEW4SlszUp.jpg,"In a last-ditch effort to save his career, sports agent JB Bernstein (Jon Hamm) dreams up a wild game plan to find Major League Baseball’s next great pitcher from a pool of cricket players in India. He soon discovers two young men who can throw a fastball but know nothing about the game of baseball. Or America. It’s an incredible and touching journey that will change them all — especially JB, who learns valuable lessons about teamwork, commitment and family.",25000000, Drama,2014-05-09,9.453942,38307627.0,Michael Doneger, Michael Doneger Amanda Brooks Wes Chatham,
23485,192133,Jimi: All Is by My Side,/uSsCEuRot797GM8zXr4IaszbIft.jpg,A drama based on Jimi Hendrix's pre-fame years.,0, Drama Music,2013-09-07,4.250364,340911.0,Jean Becker, Jean-Paul Belmondo Christine Kaufmann Pierre Vaneck, falsely accused marseille
23506,163376,Luv,/tN3Puo62ozXUvmXKrxWYMusY45V.jpg,"Harry is a barely functional human. He meets an old friend who is having marital problems as Harry is about to leap off of a bridge. His friend decides that Harry is the man to take his wife away from him so that Milt can be with his girlfriend. Ellen and Harry have an instant attraction and in a short while Harry is wearing Milt's suits and Milt is free. But, Ellen soon discovers that Harry is the world's worst roommate.",0, Romance Comedy,1967-07-26,0.985785,1000000.0,James Kirkwood, Mary Pickford Owen Moore Isabel Vernon,
23512,222935,The Fault in Our Stars,/sc6XLX6J714LDkVV3Ys3clgypQS.jpg,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a patient named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.",12000000, Romance Drama,2014-05-16,16.274653,307166834.0,Don McKellar, Brendan Gleeson Taylor Kitsch Gordon Pinsent, newfoundland doctor bribery new job hospitality
23513,209185,The Grand Seduction,/Ke06jkJksXLmAZqdgUA8T27xYz.jpg,"A small fishing village must procure a local doctor to secure a lucrative business contract. When unlikely candidate and big city doctor Paul Lewis lands in their lap for a trial residence, the townsfolk rally together to charm him into staying. As the doctor’s time in the village winds to a close, acting mayor Murray French has no choice but to pull out all the stops and begin The Grand Seduction.",12700000, Comedy,2014-05-30,15.108283,3430018.0,Jonathan Hensleigh, D. Kevin Epps Sandy Gardiner Callard Harris,
23516,175541,Black Nativity,/98eDVD7tc44IfyXizwAv7VxcuiE.jpg,"A street-wise teen from Baltimore who has been raised by a single mother travels to New York City to spend the Christmas holiday with his estranged relatives, where he embarks on a surprising and inspirational journey.",17500000, Drama Music,2013-11-27,5.346121,7018189.0,Giorgio Serafini, Dolph Lundgren Billy Zane Gianni Capaldi,
23520,140870,Minuscule - La vallée des fourmis perdues,/n2vjaTgg29nv30UQ2dQC5QPRHn5.jpg,"In a peaceful little clearing, the remains of a hastily abandoned picnic sparks a battle between two tribes of ants. A bold young ladybug finds himself caught in the middle. He befriends the leader of the black ants, Mandible, and helps him save the anthill from the assault of the terrible red ant warriors, led by the fearful Butor. A fantastic journey at ground level…",19700000, Animation Adventure Family,2013-11-17,6.583428,30000000.0,Billy Bob Thornton, Kevin Bacon Tippi Hedren Shawnee Smith,
23521,94671,Jayne Mansfield's Car,/uO2ELs2mKrQ1ZGHUdOxQ286AJ5x.jpg,"Alabama; 1969: The death of a clan's estranged wife and mother brings together two very different families. Do the scars of the past hide differences that will tear them apart, or expose truths that could lead to unexpected collisions?",0, Drama,2012-02-13,1.655794,14836.0,John Brahm, Dana Andrews Jeanne Crain Mimsy Farmer, motel cult hot rod fast cars road accident camp rock music teenager juvenile delinquent desert playing chicken
23534,110428,Camille Claudel 1915,/sGMPDg6je1zKi0TiX9b4pP6yN02.jpg,"Winter, 1915. Confined by her family to an asylum in the South of France - where she will never sculpt again - the chronicle of Camille Claudel's reclusive life, as she waits for a visit from her brother, Paul Claudel.",3512454, Drama,2013-03-13,0.110065,115860.0,Michael Roemer,,
23536,100271,ももへの手紙,/w1bkQrf6fXytXwAlv8ph0v9FnRD.jpg,"Clinging to an unfinished letter written by her recently deceased father, young Momo moves with her mother from bustling Tokyo to the remote Japanese island of Shio. Upon their arrival, she begins to explore her new habitat, meeting local children and learning their routines and customs. However, it's not long before several bizarre occurrences crop up around the previously tranquil island. Orchards are found ransacked, prized trinkets start disappearing and, worst of all, each morning after her mother leaves for work, Momo hears strange mumblings coming from the attic of their home. Annoyed by these creepy goings-on and her mother's refusal to believe them, Momo embarks on a strange and supernatural adventure to discover the source of the mischief, which leads her to a trio of troublesome imps: the flatulent lizard Kawa, the childlike Mame and their hulking ogre leader Iwa. Momo also learns that her visit to the island is in some way connected to her father's mysterious letter.",0, Comedy Fantasy Animation Drama,2012-04-21,9.491888,6748712.0,David Cronenberg, Julianne Moore Mia Wasikowska John Cusack, male nudity sex menage a trois wedding ring blood hollywood burning body ghost child murder sitting on a toilet reference to google aspiring actor sattire
23537,157851,Maps to the Stars,/ciIFIMR78V9BMfLEylJGSwnlwm.jpg,"Driven by an intense need for fame and validation, members of a dysfunctional Hollywood dynasty have lives as dramatic as any movie.",0, Drama,2014-05-21,9.431879,1338365.0,Sandra Nettelbeck, Ashley Judd Goran Visnjic Alexia Fast, depression woman director
23547,227700,Mindscape,/quU9uzUu6ot2PJhmh0zBUNep1bF.jpg,"A man with the ability to enter peoples' memories takes on the case of a brilliant, troubled sixteen-year-old girl to determine whether she is a sociopath or a victim of trauma.",4357373, Thriller Drama,2013-10-13,10.860471,1200000.0,Gregory Kohn, Utkarsh Ambudkar Russ Armstrong David Call,
